SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC13913,55,838,474,0,1437,0.6,725,2.2
SSC13914,44,1603,601,228,1474,0.9,1325,2.6
SSC13915,41,0,606,0,1374,0.7,1145,3.2
SSC13916,57,2600,569,300,1265,0.7,949,1.9
SSC13917,46,925,459,0,900,0.7,866,2.6
SSC13918,48,1500,498,280,1237,0.8,1018,2.3
SSC13919,55,992,379,60,749,0.8,492,1.8
SSC13920,48,2492,661,100,2094,0.8,1666,2.4
SSC13921,51,0,624,0,1625,0.7,1249,2.3
SSC13922,60,0,575,0,949,1.3,1249,2
SSC13923,50,655,481,108,1325,0.7,759,2.1
SSC13924,0,0,0,0,0,0,0,0
SSC13925,49,1602,497,300,1217,0.8,903,2.2
SSC13926,0,0,0,0,0,0,0,0
SSC13927,53,867,394,125,778,0.9,729,2.1
SSC13928,43,1400,477,295,1048,0.7,928,2.5
SSC13929,42,2044,602,293,1772,0.9,1209,2.4
SSC13930,44,1560,492,231,1416,0.8,1274,2.6
SSC13931,58,0,1062,0,0,1,0,0
SSC13932,46,819,569,150,1256,0.7,978,2.2
SSC13933,49,1950,684,288,1761,0.8,1569,2.7
SSC13934,29,1473,454,290,1077,0.9,947,3
SSC13935,44,1235,532,183,1374,0.8,1125,2
SSC13936,55,1840,762,100,1624,0.6,1125,2.1
SSC13937,50,0,412,0,1312,1,900,2
SSC13938,44,0,350,0,0,0,449,2.5
SSC13939,45,1733,817,0,1562,0.7,1562,2
SSC13940,50,726,507,118,1301,0.7,911,2.2
SSC13941,36,975,599,40,1375,0.9,1292,2.7
SSC13942,52,867,612,0,1156,0.7,1036,2
SSC13943,51,0,466,0,0,0,874,2.3
SSC13944,45,1127,702,0,1416,0.8,1375,2.6
SSC13945,54,1083,476,200,1008,0.8,900,2.2
SSC13946,45,1918,675,318,1416,0.8,1575,3
SSC13947,46,1850,628,325,1600,0.9,1583,3
SSC13948,34,1999,556,350,1375,0.7,1228,2.7
SSC13949,63,0,359,0,749,0.7,687,1.7
SSC13950,34,1700,652,360,1512,0.8,1276,2.5
SSC13951,42,1733,582,300,1540,0.9,1204,2.6
SSC13952,45,2625,575,175,1312,0.7,1093,2.6
SSC13953,41,1100,862,0,1875,0.5,1791,2.5
SSC13954,52,560,491,45,1300,0.7,1009,2.2
SSC13955,0,0,0,0,0,0,0,0
SSC13956,45,1415,677,290,1642,0.8,1357,2.6
SSC13957,45,800,606,80,1375,0.7,1031,2.4
SSC13958,35,2167,775,450,2010,0.8,1875,2.9
SSC13959,45,0,1125,0,1625,0.8,1542,2.3
SSC13960,48,1300,512,125,1625,0.8,1281,2.6
SSC13961,46,1170,564,180,1350,0.7,1102,2.3
SSC13962,44,1950,622,360,1639,0.8,1417,2.8
SSC13963,40,1390,587,76,1562,0.8,1339,2.3
SSC13964,43,1521,621,340,1558,0.8,1337,2.5
SSC13965,37,0,575,0,1062,1.3,1062,3
SSC13966,43,1361,552,200,1388,0.8,1073,2.3
SSC13967,41,2811,632,0,1875,0.9,1437,3
SSC13968,55,1733,508,225,1047,0.6,1020,2
SSC13969,61,1300,453,250,944,0.7,750,1.9
SSC13970,63,0,574,0,933,0.6,933,1.8
SSC13971,46,1200,462,140,866,0.9,818,2.2
SSC13972,60,0,450,0,1899,0.5,1899,2
SSC13973,57,1452,544,330,1254,0.7,1064,2.2
SSC13974,51,1582,494,0,1187,0.7,966,1.9
SSC13975,49,1579,522,150,1562,0.7,1350,2.7
SSC13976,44,1517,545,0,1399,0.9,1208,2.5
SSC13977,45,1127,477,275,1187,0.7,1021,2
