SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC11121,53,1068,525,150,1174,0.7,1399,2.8
SSC11122,56,385,630,0,1166,0.5,1093,1.6
SSC11123,50,1343,574,220,1382,0.7,1001,2.2
SSC11124,44,2750,659,38,2062,0.9,1812,2.9
SSC11125,35,823,691,0,1625,0.8,1291,2.2
SSC11126,37,0,900,0,2250,0,2250,2
SSC11127,36,1928,563,380,1454,0.8,1281,3
SSC11128,41,2234,639,420,1766,0.8,1448,3
SSC11129,63,0,0,0,0,0,0,0
SSC11130,57,2600,440,280,1125,0.8,924,2.3
SSC11131,35,2800,1352,550,3060,1.1,2312,2.1
SSC11132,57,921,619,0,1312,0.7,949,2.2
SSC11133,0,0,0,0,0,0,0,0
SSC11134,40,2400,673,450,2073,1,1846,2.9
SSC11135,39,2167,680,400,1906,1,1597,2.8
SSC11136,55,1593,412,80,899,0.8,725,1.6
SSC11137,30,0,462,0,1125,0.7,1062,2.9
SSC11138,44,1810,531,250,1375,1,1125,2.7
SSC11139,55,1533,612,0,1312,0.8,1406,2.5
SSC11140,44,1300,639,180,1514,0.7,1280,2.5
SSC11141,45,2383,833,0,2083,0.7,1874,2.9
SSC11142,45,0,700,0,1208,0.8,1166,2.2
SSC11143,41,1517,635,340,1489,0.8,1435,2.8
SSC11144,42,2000,665,360,1578,0.9,1430,2.9
SSC11145,52,1200,517,240,1134,0.8,915,2.2
SSC11146,53,1517,503,290,1201,0.7,941,2.2
SSC11147,42,960,548,180,1270,0.8,1053,2.5
SSC11148,48,1300,423,195,974,0.8,778,2.3
SSC11149,42,1733,612,0,1625,0.5,1687,2
SSC11150,51,0,350,0,1124,0,949,2
SSC11151,51,1688,900,165,2187,0.6,2062,2.4
SSC11152,42,0,687,0,1399,0,762,2
SSC11153,67,0,687,0,1374,0.5,1374,1.6
SSC11154,37,2000,729,498,1891,0.8,1800,3.1
SSC11155,38,0,425,0,1024,0,1125,0
SSC11156,39,2000,881,0,2028,0.8,1937,2.8
SSC11157,25,0,350,0,0,0,0,0
SSC11158,55,0,384,0,745,1,491,2
SSC11159,50,910,550,100,1275,0.7,953,2.5
SSC11160,53,0,337,0,0,0.3,612,1
SSC11161,47,1300,538,285,1254,0.8,1073,2.5
SSC11162,38,650,850,0,2250,0.7,2125,2
SSC11163,61,859,558,285,1125,0.5,780,1.6
SSC11164,56,1170,729,150,1406,0.6,1224,2.2
SSC11165,38,0,687,0,1999,0,1166,4.6
SSC11166,45,1500,846,75,1708,0.7,1468,2.5
SSC11167,38,3100,1031,620,3178,0.9,2693,3
SSC11168,41,0,675,0,0,1,1125,1.5
SSC11169,43,1000,523,210,1298,0.8,1100,2.5
SSC11170,46,1029,595,155,1375,0.8,1125,2.3
SSC11171,51,1584,424,0,1375,0.5,762,1.7
SSC11172,45,1556,653,120,1541,0.8,1116,2.5
SSC11173,0,0,0,0,0,0,0,0
SSC11174,46,2167,670,340,2071,0.7,1963,2.7
SSC11175,31,2086,813,430,1954,0.9,1860,3.1
SSC11176,59,1625,459,270,991,0.7,844,2.2
SSC11177,42,2100,1038,0,2678,0.9,2200,2.4
SSC11178,39,1103,654,200,1812,0.8,1392,2.4
SSC11179,51,1529,518,0,1875,0.6,1024,2.1
SSC11180,40,0,575,0,0,1,0,0
SSC11181,53,1343,512,0,1416,0.6,1125,2.1
SSC11182,51,0,524,0,1124,0.7,749,2.2
SSC11183,62,0,506,0,1041,0.7,900,1.8
SSC11184,62,0,518,80,1124,0.6,900,1.9
SSC11185,53,2550,400,130,1010,0.9,498,1.9
SSC11186,46,0,749,0,2125,1,2125,3
SSC11187,62,0,440,0,1024,0.6,469,1
SSC11188,45,1902,762,80,1974,0.6,1833,2.6
SSC11189,62,2099,518,395,1194,0.8,934,2.1
SSC11190,52,867,513,150,1160,0.8,966,2.3
SSC11191,57,1300,501,240,1137,0.7,901,2.2
SSC11192,72,0,0,0,0,0,0,0
SSC11193,33,3000,746,0,1624,0.8,1624,3.3
SSC11194,49,1127,546,0,1428,0.8,1171,2.3
SSC11195,46,2292,614,330,1839,0.7,1625,2.7
SSC11196,40,1907,627,335,2166,0.8,2208,3.1
SSC11197,42,0,550,0,1125,0.8,1374,4.5
SSC11198,55,850,388,0,866,0.7,725,1.9
SSC11199,50,2122,735,345,1850,0.8,1375,2.3
SSC11200,47,1379,702,195,1910,0.7,1562,2.7
SSC11201,27,0,699,0,0,0,0,0
SSC11202,40,1733,557,340,1480,0.8,1238,2.6
SSC11203,46,2000,541,285,1406,0.8,1169,2.6
SSC11204,44,0,599,0,1375,0.5,1562,2.4
SSC11205,50,1083,430,150,1187,0.7,955,2.3
SSC11206,45,693,386,150,830,0.9,744,2.3
SSC11207,59,1690,456,0,1292,0.7,771,2
SSC11208,49,0,687,0,2250,0,1375,1.4
SSC11209,44,1975,850,410,2285,0.9,2042,3.1
SSC11210,44,1441,469,255,949,0.8,780,2.1
SSC11211,48,3000,1598,787,3806,0.9,2966,1.9
SSC11212,35,2500,1285,560,3095,1.1,2158,1.8
SSC11213,33,1690,662,270,1812,0.7,1437,2.4
SSC11214,25,2800,486,500,2625,1.1,1111,2.2
SSC11215,41,1083,628,170,1408,0.8,1131,2.5
SSC11216,50,0,1125,0,2250,0.6,2125,1.9
SSC11217,46,2625,809,200,1812,0.8,1406,2.4
SSC11218,43,2100,914,370,2359,0.8,2231,3
SSC11219,43,3000,871,878,2742,0.8,2630,3.1
SSC11220,39,834,474,0,1125,1.3,1024,2.7
SSC11221,48,1950,609,350,1495,0.8,1176,2.3
SSC11222,51,5200,1948,1500,4636,0.8,3806,2
SSC11223,51,759,437,28,1062,0.6,833,2.4
SSC11224,34,1788,638,400,1733,0.9,1600,3.1
SSC11225,55,0,575,0,2250,0.7,2124,2.4
SSC11226,61,0,0,0,0,0,0,0
SSC11227,36,2167,865,500,2040,1.1,1716,2.3
SSC11228,33,0,1375,0,0,0,0,0
SSC11229,55,715,389,0,974,0.9,1021,2.2
SSC11230,43,0,409,0,900,1,849,2.3
SSC11231,56,650,420,155,875,0.8,665,1.9
SSC11232,39,1754,445,245,915,0.8,787,2.6
SSC11233,54,732,503,80,1222,0.7,854,1.9
SSC11234,44,780,448,175,1062,0.8,782,2.4
SSC11235,35,2600,578,215,1937,1,1777,3
SSC11236,61,1733,454,323,1198,0.7,1065,2.2
SSC11237,45,1083,586,195,1400,0.7,1063,2.2
SSC11238,42,2300,770,565,2411,0.9,2333,3
SSC11239,38,2200,751,600,2163,0.9,2129,3.2
SSC11240,39,2500,795,560,2281,0.9,2128,3.1
SSC11241,41,1700,590,260,1597,0.7,1176,2.4
SSC11242,58,0,518,0,1125,0.7,762,2
SSC11243,40,0,474,0,1187,0.7,1187,2
SSC11244,0,0,0,0,0,0,0,0
SSC11245,54,550,384,0,840,0.8,762,1.7
SSC11246,57,0,725,0,1312,1.7,1125,2
SSC11247,66,0,374,0,866,0,0,0
SSC11248,34,1555,521,325,1293,1,1281,3.2
SSC11249,41,3667,933,0,2750,0.8,2249,2.6
SSC11250,47,0,687,0,1624,0.5,1625,2.5
SSC11251,51,1400,570,298,1350,0.7,1187,2.4
SSC11252,0,0,0,0,0,0,0,0
SSC11253,57,0,385,0,849,1.1,483,1.4
SSC11254,61,0,510,0,1083,0.5,899,1.5
SSC11255,53,867,455,210,1125,0.8,899,2.3
SSC11256,50,950,330,0,762,0.8,674,1.7
SSC11257,36,0,900,0,2250,0,2125,2
SSC11258,0,0,0,0,0,0,0,0
SSC11259,55,0,508,50,933,0.5,850,1.9
SSC11260,46,1344,657,0,1625,0.8,1375,2.8
SSC11261,36,1200,483,0,1083,1.1,1083,2.8
SSC11262,49,867,533,185,1350,0.8,1274,2.3
SSC11263,48,997,530,0,1792,1.5,1625,2.7
SSC11264,52,0,330,0,1125,0.6,900,2
SSC11265,50,0,0,0,0,0,0,0
SSC11266,43,3250,900,600,2908,0.8,2815,3.1
SSC11267,43,2037,868,435,1855,0.9,1438,2.1
SSC11268,45,1312,496,0,1187,0.9,1093,3.3
SSC11269,54,1517,477,320,1125,0.6,880,1.9
SSC11270,39,2383,706,0,2042,0.9,2250,2.9
SSC11271,46,1053,749,0,2625,0.9,2374,3
SSC11272,51,1300,475,280,1152,0.8,968,2.3
SSC11273,57,1760,490,190,1125,0.7,749,1.9
SSC11274,64,1500,474,118,1125,0.7,772,2.1
SSC11275,35,1950,531,310,1425,1,1340,3.1
SSC11276,42,2817,487,250,2047,0.7,1724,2.7
SSC11277,50,1733,579,313,1367,0.8,1154,2.3
SSC11278,55,1300,471,225,1098,0.7,775,2.1
SSC11279,58,1867,479,190,1125,0.6,900,2
SSC11280,54,1777,602,253,1233,0.7,1140,2.3
SSC11281,39,3000,1427,680,3421,0.9,2478,2.1
SSC11282,48,1101,461,0,1062,0.7,1013,2.6
SSC11283,42,1976,732,350,2005,0.8,1943,3
SSC11284,41,4000,1145,725,3570,0.9,3031,3
SSC11285,44,1408,941,200,2625,0.7,1875,2.5
SSC11286,36,1590,506,345,1410,0.8,1231,2.9
SSC11287,72,1083,430,150,772,0.7,666,1.6
SSC11288,54,1830,575,0,1375,0.6,1124,2.2
SSC11289,0,0,0,0,0,0,0,0
SSC11290,55,446,402,123,814,1,487,1.8
SSC11291,58,0,474,0,2124,0,1625,0
SSC11292,49,660,483,0,1249,0.9,1187,2.8
SSC11293,40,2900,1170,571,2993,0.9,2353,2.3
SSC11294,53,0,825,0,1687,0.7,1625,1.7
SSC11295,50,0,599,170,1406,0.7,1300,1.5
SSC11296,36,1517,691,265,1602,0.8,1341,2.5
SSC11297,50,1250,406,0,1125,0.9,949,2.4
SSC11298,42,1517,608,220,1312,0.7,1202,2.5
SSC11299,50,880,468,0,1124,0.7,966,2.8
SSC11300,40,2000,793,365,2305,0.8,1991,2.7
SSC11301,43,5000,886,625,3291,0.7,3274,3.4
SSC11302,49,1200,567,250,1292,0.8,1292,2.5
SSC11303,37,2167,914,450,2221,1,1809,2.3
SSC11304,56,1517,479,295,1125,0.7,1104,2.3
SSC11305,40,0,735,170,1437,0.7,1312,2.3
SSC11306,52,1300,687,250,1812,0.7,1687,2.8
SSC11307,43,0,383,0,866,1,483,2.1
SSC11308,0,0,0,0,0,0,0,0
SSC11309,52,1938,529,235,1518,0.8,1291,2.8
SSC11310,59,1517,469,290,1069,0.8,875,2.1
SSC11311,47,1200,530,0,850,0.8,900,2.7
SSC11312,35,2167,619,430,1844,1,1701,2.9
SSC11313,36,2200,619,350,1833,0.9,1551,2.8
SSC11314,49,867,504,120,1271,0.7,1075,2.4
SSC11315,53,650,381,50,762,0.8,474,1.7
SSC11316,49,967,520,175,1125,0.7,871,2.2
SSC11317,42,1550,479,0,1343,0.9,1343,2.7
SSC11318,44,2340,653,270,1656,0.8,1569,2.7
SSC11319,0,0,0,0,0,0,0,0
SSC11320,51,1200,492,241,1132,0.7,842,2.2
SSC11321,39,1700,717,240,1569,0.8,1286,2.7
SSC11322,53,1842,744,0,2083,0.7,1958,2.5
SSC11323,46,1900,642,160,1792,0.8,1775,2.9
SSC11324,50,1733,671,205,1875,0.7,1458,1.9
SSC11325,44,1500,549,288,1301,0.8,1040,2.4
SSC11326,41,2167,684,350,1875,0.8,1775,3
SSC11327,50,0,725,0,0,0,0,0
SSC11328,43,2600,746,550,2423,0.8,2164,3.1
SSC11329,0,0,0,0,0,0,0,0
SSC11330,48,1733,680,150,1593,0.7,1513,2.7
SSC11331,42,1733,594,345,1399,0.7,1312,2.8
SSC11332,44,1500,698,230,1642,0.8,1447,2.7
SSC11333,50,2175,518,0,1187,0.7,1208,2.1
SSC11334,49,1800,774,0,2124,0.7,1542,2.2
SSC11335,60,0,687,0,1375,0.6,1062,1.6
SSC11336,46,1750,737,0,1583,0.7,1624,2.4
SSC11337,0,0,0,0,0,0,0,0
SSC11338,50,1560,503,250,1303,0.7,1042,2.3
SSC11339,51,1124,520,250,880,0.8,840,2.2
SSC11340,37,2383,1024,0,2812,0.8,2166,2.7
SSC11341,33,1733,647,370,1639,0.9,1612,3.1
SSC11342,49,1600,743,260,1843,0.7,1625,2.7
SSC11343,42,2500,681,500,2051,0.9,1824,2.9
SSC11344,39,1517,732,250,1865,0.7,1327,2.3
SSC11345,47,1733,660,370,1554,0.7,1266,2.3
SSC11346,31,1800,768,330,1926,0.8,1710,2.7
SSC11347,45,1517,559,240,1281,0.9,1140,2.5
SSC11348,38,1904,656,300,1690,0.9,1276,2.3
SSC11349,44,1863,601,330,1556,0.8,1065,2.1
SSC11350,36,1421,546,200,1390,0.8,1062,2.6
SSC11351,41,2200,659,322,1990,0.9,1511,2.7
SSC11352,42,1870,847,350,2065,0.8,1656,2.6
SSC11353,50,2600,754,200,1874,0.9,1625,2.2
SSC11354,38,1213,569,260,1245,0.8,930,2.4
SSC11355,42,3100,739,920,2620,0.8,2524,3.3
SSC11356,38,2500,787,350,2204,0.9,2187,3.3
SSC11357,42,3500,919,975,3429,0.8,3047,3.1
SSC11358,40,1430,523,260,1348,0.8,1000,2.3
SSC11359,47,1100,547,200,1125,0.9,850,2.2
SSC11360,40,1700,612,280,1575,0.8,1178,2.3
SSC11361,41,2817,900,675,2844,0.8,2585,3.1
SSC11362,40,1993,774,300,2062,0.7,1708,2.7
SSC11363,42,1517,730,290,1706,0.7,1368,2.3
SSC11364,42,1363,653,280,1300,0.8,1062,2.3
SSC11365,45,1473,552,300,1226,0.8,1145,2.7
SSC11366,34,1763,651,380,1657,0.9,1613,3.2
SSC11367,42,3000,694,202,2276,0.9,1833,2.8
SSC11368,36,2000,495,400,1384,1.1,1051,2.6
SSC11369,36,2167,584,445,1844,1,1648,2.9
SSC11370,46,1300,389,250,1075,0.8,794,2.5
SSC11371,38,2205,688,325,1954,0.9,1886,3.3
SSC11372,51,596,450,40,949,0.8,791,2
SSC11373,57,0,325,0,574,0.6,575,2.3
SSC11374,0,0,0,0,0,0,0,0
SSC11375,51,1387,486,230,1138,0.7,852,2.2
SSC11376,55,1592,473,125,1275,0.8,971,2.1
SSC11377,36,2000,488,425,1565,1,1637,3.5
SSC11378,54,1300,428,0,1062,0.7,1083,2.2
SSC11379,38,3027,1365,600,3245,1,2198,1.9
SSC11380,42,1733,881,100,1812,0.7,1625,2.4
SSC11381,40,1600,546,310,1392,0.8,1167,2.5
SSC11382,52,1181,725,0,1875,0.6,1583,2.3
SSC11383,31,2643,820,560,2195,0.9,2275,3.7
SSC11384,0,0,0,0,0,0,0,0
SSC11385,33,0,612,0,0,0,0,0
SSC11386,35,1733,715,345,1729,0.8,1565,2.9
SSC11387,0,0,0,0,0,0,0,0
SSC11388,52,650,403,110,739,0.9,468,1.9
SSC11389,40,3000,855,700,2523,0.9,2461,3.2
SSC11390,33,0,359,0,900,1.1,1166,3
SSC11391,33,2297,830,470,2166,0.8,2013,3
SSC11392,47,1590,791,108,1625,0.8,1774,3
SSC11393,44,2000,774,420,2218,0.8,1969,2.8
SSC11394,40,1733,619,325,1619,0.8,1325,2.5
SSC11395,41,2324,1448,493,3295,1.1,1989,1.5
SSC11396,51,1559,642,300,1437,0.6,1137,2.2
SSC11397,29,2500,759,540,1933,0.9,2003,3.6
SSC11398,39,1600,565,300,1423,0.9,1370,2.8
SSC11399,51,1509,632,305,1406,0.7,1300,2.4
SSC11400,43,1213,415,210,1034,0.8,1018,2.4
SSC11401,45,1042,443,250,1156,0.8,1062,2.6
SSC11402,29,0,1018,150,2083,0.8,1875,1.6
SSC11403,43,650,537,15,1156,0.9,849,2
SSC11404,30,0,780,0,1625,1,1541,1.9
SSC11405,41,2513,842,450,2333,0.8,2356,3.2
SSC11406,55,368,472,205,1062,0.8,771,2
SSC11407,45,2167,949,0,2218,0.7,2333,3.1
SSC11408,39,1300,204,0,466,1.2,474,2.7
SSC11409,45,1850,645,333,2022,0.8,1536,2.9
SSC11410,53,2450,749,450,1458,0.7,1562,2.3
SSC11411,42,1712,648,360,1502,0.8,1410,2.7
SSC11412,43,1755,833,45,2125,0.7,1792,2.6
SSC11413,31,1500,484,310,1226,1,1072,3
SSC11414,55,867,448,133,922,0.7,768,2.2
SSC11415,41,1993,627,350,1642,0.8,1449,2.8
SSC11416,46,1590,495,0,1375,0.7,1224,2.8
SSC11417,35,2000,808,415,2193,0.8,2080,3.1
SSC11418,39,2167,719,400,2020,0.8,1685,2.7
SSC11419,47,1984,974,270,2218,0.8,2036,2.8
SSC11420,0,0,0,0,0,0,0,0
SSC11421,39,2167,640,450,1850,1,1595,2.7
SSC11422,38,2400,803,430,2152,0.9,1962,2.9
SSC11423,31,1556,700,380,1625,0.8,1552,2.9
SSC11424,50,2149,687,0,1687,0.4,1437,1.7
SSC11425,34,2600,1036,490,2489,1,2022,2.3
SSC11426,30,1051,404,130,1187,0.7,1031,2.3
SSC11427,0,0,0,0,0,0,0,0
SSC11428,36,2210,712,530,2146,1,1973,2.9
SSC11429,52,2169,656,138,1774,0.7,1312,2.6
SSC11430,33,0,875,0,1875,0.3,1125,1.5
SSC11431,36,0,725,0,1958,0.6,1375,3
SSC11432,40,0,762,0,2187,0.8,2125,2.9
SSC11433,59,1842,545,333,1468,0.7,941,2.1
SSC11434,40,2188,679,480,2227,0.9,1974,3.2
SSC11435,37,2461,647,277,1880,0.9,1620,2.9
SSC11436,47,1636,531,300,1234,0.7,1093,2.4
SSC11437,43,0,849,193,2125,0.6,1875,2.4
SSC11438,34,2000,781,410,2151,0.9,2104,3.3
SSC11439,34,2600,1381,602,3011,1.1,2482,2.1
SSC11440,44,2383,583,215,1937,0.7,1843,2.8
SSC11441,34,1733,741,390,1743,0.8,1649,3
SSC11442,0,0,0,0,0,0,0,0
SSC11443,46,1458,725,175,1375,0.7,1541,2.6
SSC11444,31,1733,705,350,1961,0.8,1620,2.7
SSC11445,52,1517,496,350,1146,0.8,867,2
SSC11446,47,1642,687,0,2625,0.6,1749,2.2
SSC11447,0,0,0,0,0,0,0,0
SSC11448,42,1207,428,200,1062,0.8,734,2.2
SSC11449,38,391,469,0,1028,0.8,919,2.5
SSC11450,31,0,424,12,900,0.6,850,2.4
SSC11451,46,2505,833,130,2250,1,2062,2.9
SSC11452,39,1083,552,163,1375,0.8,1228,2.6
SSC11453,60,0,575,0,0,0.3,1024,1
SSC11454,51,1083,566,150,1228,0.7,1095,2.3
SSC11455,45,1517,675,0,1843,0.5,1187,2.5
SSC11456,51,1192,535,130,1062,0.7,836,2.2
SSC11457,44,1409,864,150,1968,0.7,1843,3
SSC11458,43,1092,446,250,1031,0.9,905,2.6
SSC11459,45,1086,402,260,900,0.9,788,2.8
SSC11460,44,1660,450,200,988,0.8,1024,2.7
SSC11461,45,2100,640,338,1571,0.9,1368,2.6
SSC11462,38,0,550,210,1333,0.8,1292,3
SSC11463,51,1083,589,200,1312,0.8,1062,2.1
SSC11464,47,1738,599,280,1537,0.8,1512,2.6
SSC11465,45,0,762,0,1562,0.7,1562,2.4
SSC11466,29,1425,840,140,1800,0.9,1774,3.4
SSC11467,49,2600,843,216,2071,0.8,1774,2.4
SSC11468,35,1100,671,200,1526,0.9,1342,2.9
SSC11469,51,1517,504,260,1211,0.8,900,2.1
SSC11470,39,1975,807,204,2075,0.8,2019,2.6
SSC11471,31,2550,844,325,1375,1.1,1221,2.3
SSC11472,43,2210,597,380,1524,0.8,1416,3
SSC11473,58,828,407,0,784,0.7,484,1.3
SSC11474,44,2000,699,395,1708,0.9,1592,2.5
SSC11475,54,2100,686,300,1598,0.7,1362,2.3
SSC11476,59,1440,458,310,1075,0.8,789,2.2
SSC11477,36,1625,396,350,1067,1.2,975,3
SSC11478,35,1900,404,278,1162,1.1,1057,3.4
SSC11479,35,1993,398,400,1148,1.1,1116,3.4
SSC11480,36,1950,435,420,1254,1,1267,3.4
SSC11481,55,0,1036,0,1625,0.8,1499,2
SSC11482,38,3000,1250,648,3229,0.9,2620,2.4
SSC11483,48,1559,517,258,1199,0.7,1118,2.6
SSC11484,37,1907,497,340,1435,0.9,1123,2.4
SSC11485,32,0,612,320,2750,0.7,1375,1.5
SSC11486,30,1733,833,0,1875,1.1,1812,3.3
SSC11487,47,1975,552,300,1411,0.7,1478,2.8
SSC11488,55,2000,638,208,1892,0.6,1625,2.3
SSC11489,45,0,700,0,1624,0,1375,1
SSC11490,43,2113,639,335,2055,0.8,1895,2.7
SSC11491,38,1950,684,380,2006,0.8,1816,2.9
SSC11492,54,0,424,0,1437,0.8,1125,2.3
SSC11493,57,1734,701,265,1300,0.9,1275,2
SSC11494,59,0,899,0,0,0.7,649,1.9
SSC11495,46,1600,576,300,1489,0.8,1238,2.5
SSC11496,40,1950,792,380,2036,0.8,1781,2.7
SSC11497,50,1950,518,290,1437,0.7,1041,1.9
SSC11498,45,1500,615,230,1718,0.8,1542,2.6
SSC11499,47,1600,620,350,1298,0.8,1184,2.4
SSC11500,47,1615,542,300,1393,0.7,1204,2.4
SSC11501,53,2167,544,430,1416,0.8,1049,2.2
SSC11502,52,1100,675,0,1875,0.6,1833,1.8
SSC11503,53,0,624,0,0,0,899,1
SSC11504,48,2430,725,0,1687,0.8,1999,2.5
SSC11505,45,2084,587,221,1392,1,1321,2.9
SSC11506,56,1000,632,243,1424,0.7,1062,1.6
SSC11507,45,1915,471,168,1397,0.8,870,2.1
SSC11508,48,1777,638,415,1531,0.8,1392,2.8
SSC11509,45,1500,618,270,1465,0.7,1303,2.5
SSC11510,41,1500,630,0,1875,1.2,1312,2.8
SSC11511,44,1495,504,288,1275,0.8,1125,2.7
SSC11512,48,1517,669,385,1875,0.8,1625,2.7
SSC11513,42,2967,805,275,1974,0.9,1875,3.1
SSC11514,47,810,591,50,1042,0.7,1125,2.4
SSC11515,40,2058,645,350,1906,0.8,1581,2.8
SSC11516,59,0,325,0,687,0.8,575,1.7
SSC11517,47,0,479,0,1187,1,1187,0
SSC11518,61,1300,498,335,1122,0.7,908,2.1
SSC11519,45,2210,635,360,1516,0.8,1208,2.7
SSC11520,47,875,545,145,1272,0.7,988,2.2
SSC11521,52,1300,476,270,1260,0.8,1052,2.4
SSC11522,52,2450,589,0,1375,0.6,1375,2.2
SSC11523,51,1190,458,230,968,0.7,773,2.2
SSC11524,54,658,411,200,875,0.8,665,1.9
SSC11525,48,2167,687,0,1624,0.7,1208,2.2
SSC11526,53,2000,606,400,1470,0.7,1355,2.4
SSC11527,43,2253,489,0,1625,0.7,1583,2
SSC11528,38,0,1542,0,0,0,0,0
SSC11529,46,2167,664,233,1875,0.7,1666,2.3
SSC11530,40,2617,876,550,2434,1,2077,2.6
SSC11531,51,0,391,0,725,0.7,724,2
SSC11532,60,1363,1270,0,3249,0.6,1499,1.4
SSC11533,31,2200,863,493,2317,0.8,2296,3.4
SSC11534,34,2167,700,435,1924,0.8,1783,3
SSC11535,38,2000,708,380,2050,0.8,1848,3
SSC11536,42,1164,552,185,1296,0.7,1033,2.3
SSC11537,49,1993,1166,150,2750,0.5,2083,1.7
SSC11538,41,0,325,0,0,0.6,1375,2
SSC11539,46,1864,506,265,1291,0.7,1275,3
SSC11540,49,0,450,0,1249,0.6,725,1.4
SSC11541,38,0,575,240,1375,0.6,1083,2.3
SSC11542,45,2600,749,200,1875,0.7,1749,2.5
SSC11543,48,1968,900,0,2250,0.6,1833,3.2
SSC11544,28,1330,781,280,1581,0.8,1420,2.7
SSC11545,0,0,0,0,0,0,0,0
SSC11546,30,2900,1063,600,2923,1.1,2143,2.2
SSC11547,39,2300,783,200,2250,0.8,2013,3
SSC11548,42,2817,767,600,2556,0.9,2151,2.9
SSC11549,43,2078,691,410,1808,0.8,1520,2.6
SSC11550,54,1517,487,280,1094,0.7,868,2.1
SSC11551,61,0,420,0,774,1,675,2.2
SSC11552,47,1183,661,0,1583,0.8,1437,2.5
SSC11553,57,1255,564,220,1292,0.6,1187,2
SSC11554,43,2163,786,300,2266,0.8,2293,3.3
SSC11555,0,0,0,0,0,0,0,0
SSC11556,30,0,762,0,0,0,0,0
SSC11557,31,0,1031,0,0,0,2250,0
SSC11558,58,2282,669,335,1812,0.7,1458,2.3
SSC11559,0,0,0,0,0,0,0,0
SSC11560,50,1800,541,50,1474,0.7,1292,2.7
SSC11561,44,1170,483,250,1228,0.8,1003,2.7
SSC11562,0,0,0,0,0,0,0,0
SSC11563,0,0,0,0,0,0,0,0
SSC11564,36,2000,751,405,2005,0.8,1885,3
SSC11565,45,2492,422,200,1562,1.1,634,2.3
SSC11566,44,934,849,0,1208,1,1624,1.5
SSC11567,34,2000,774,0,1812,0,1812,4
SSC11568,40,3000,863,760,2639,0.9,2514,3.2
SSC11569,35,2600,1097,530,2731,1,2268,2.5
SSC11570,42,1993,454,290,1541,0.8,1093,2.6
SSC11571,47,1800,564,25,1625,0.5,939,2.1
SSC11572,38,1445,425,200,1125,0.9,1125,2.8
SSC11573,66,0,424,0,0,1,0,1
SSC11574,58,1000,480,0,1062,0.7,939,1.8
SSC11575,63,2189,502,290,1150,0.8,1082,2.3
SSC11576,36,0,933,200,1749,0.4,1625,1.6
SSC11577,36,1993,784,0,1792,0.5,1312,2.5
SSC11578,45,0,1062,0,0,0,0,0
SSC11579,43,2334,769,275,2250,0.9,2150,2.6
SSC11580,45,986,496,115,1160,0.8,814,2.2
SSC11581,42,0,560,100,1406,0.7,1062,2.6
SSC11582,44,2500,731,500,2164,0.8,1798,2.9
SSC11583,54,1785,762,0,2150,0.7,1562,2.1
SSC11584,52,910,466,0,1062,0.9,962,2.3
SSC11585,47,750,495,140,1254,0.8,935,2.5
SSC11586,41,600,693,0,1392,0.7,1221,2.4
SSC11587,44,1950,760,410,2057,0.8,1856,2.9
SSC11588,36,700,587,0,1687,0.7,1406,2.7
SSC11589,43,1807,725,0,1708,0.8,1625,2.8
SSC11590,55,0,425,0,0,1,0,3
SSC11591,47,2500,793,213,1687,0.7,1687,2.4
SSC11592,45,2000,493,220,1625,0.7,1187,2.6
SSC11593,45,2052,634,250,1781,0.8,1781,2.8
SSC11594,35,1509,477,262,1164,0.8,926,2.5
SSC11595,0,0,0,0,0,0,0,0
SSC11596,0,0,0,0,0,0,0,0
SSC11597,51,2200,766,0,2549,0.6,2166,2.6
SSC11598,52,2058,575,0,1625,0.6,1625,2
SSC11599,48,1430,491,250,1210,0.7,988,2.3
SSC11600,58,0,466,0,1874,1,1624,2.1
SSC11601,37,2167,570,470,1612,0.9,1464,3.2
SSC11602,45,1404,785,220,1875,0.8,1625,3
SSC11603,37,1831,690,350,1687,0.9,1381,2.3
SSC11604,52,1200,454,168,1201,0.9,1029,2.2
SSC11605,42,1500,697,185,1666,0.8,1510,2.7
SSC11606,45,2123,690,410,1875,0.8,1496,2.6
SSC11607,51,2167,679,410,1607,0.7,1448,2.4
SSC11608,42,1300,678,250,1589,0.7,1218,2.5
SSC11609,59,910,556,155,1124,0.6,900,1.7
SSC11610,43,0,430,120,1375,0.8,1125,3.3
SSC11611,45,0,589,0,1312,0.6,949,3
SSC11612,44,1956,459,0,1875,1.2,1687,2.9
SSC11613,50,0,417,0,0,1,450,1.6
SSC11614,0,0,0,0,0,0,0,0
SSC11615,45,1300,712,110,1562,0.6,1468,2.5
SSC11616,37,1733,825,0,1791,0.9,1625,3.7
SSC11617,72,0,443,400,949,0.6,782,1.7
SSC11618,43,1083,457,220,1044,0.8,944,2.6
SSC11619,46,1083,509,174,1149,0.7,914,2.3
SSC11620,49,0,706,0,1125,0.6,1187,2.2
SSC11621,0,0,0,0,0,0,0,0
SSC11622,50,0,715,110,1458,0.6,1375,2.1
SSC11623,58,1573,715,0,2250,0.4,1625,1.5
SSC11624,29,2000,767,395,1870,0.8,1712,2.8
