,ASGS_Code_2016,Tot_P_P
POA2155,2155,55452
POA2156,2156,12942
POA2157,2157,3741
POA2158,2158,8575
POA2159,2159,4975
POA2160,2160,35973
POA2161,2161,31418
POA2162,2162,18622
POA2163,2163,9590
POA2164,2164,19624
POA2165,2165,42444
POA2166,2166,52762
POA2167,2167,9633
POA2168,2168,43451
POA2170,2170,105451
POA2171,2171,34866
POA2172,2172,2781
POA2173,2173,14433
POA2174,2174,2267
POA2175,2175,1837
POA2176,2176,47809
POA2177,2177,15979
POA2178,2178,4230
POA2179,2179,6530
POA2190,2190,25566
POA2191,2191,6322
POA2192,2192,12718
POA2193,2193,15256
POA2194,2194,24541
POA2195,2195,27154
POA2196,2196,31815
POA2197,2197,9069
POA2198,2198,9038
POA2199,2199,18013
POA2200,2200,43687
POA2203,2203,13707
POA2204,2204,26502
POA2205,2205,19447
POA2206,2206,19404
POA2207,2207,28534
POA2208,2208,12446
POA2209,2209,15769
POA2210,2210,30586
POA2211,2211,16846
POA2212,2212,15847
POA2213,2213,21784
POA2214,2214,3952
POA2216,2216,28067
POA2217,2217,26843
POA2218,2218,16431
POA2219,2219,13200
POA2220,2220,32487
POA2221,2221,16481
POA2222,2222,12786
POA2223,2223,20910
POA2224,2224,14213
POA2225,2225,5407
POA2226,2226,12504
POA2227,2227,14626
POA2228,2228,18361
POA2229,2229,28718
POA2230,2230,28843
POA2231,2231,2267
POA2232,2232,32870
POA2233,2233,29498
POA2234,2234,30580
POA2250,2250,67194
POA2251,2251,32702
POA2256,2256,15598
POA2257,2257,29010
POA2258,2258,5164
POA2259,2259,59513
POA2260,2260,23417
POA2261,2261,52754
POA2262,2262,20830
POA2263,2263,24267
POA2264,2264,14233
POA2265,2265,5805
POA2267,2267,2759
POA2278,2278,2570
POA2280,2280,26678
POA2281,2281,14274
POA2282,2282,14777
POA2283,2283,23300
POA2284,2284,10500
POA2285,2285,30714
POA2286,2286,3909
POA2287,2287,36400
POA2289,2289,19117
POA2290,2290,33426
POA2291,2291,13417
POA2292,2292,2465
POA2293,2293,2521
POA2294,2294,1929
POA2295,2295,6925
POA2296,2296,1883
POA2297,2297,1680
POA2298,2298,9498
POA2299,2299,11207
POA2300,2300,10578
POA2302,2302,564
POA2303,2303,9143
POA2304,2304,15176
POA2305,2305,12506
POA2306,2306,3358
POA2307,2307,3905
POA2308,2308,1326
POA2311,2311,858
POA2312,2312,1458
POA2314,2314,203
POA2315,2315,14658
POA2316,2316,5849
POA2317,2317,6244
POA2318,2318,12147
POA2319,2319,6684
POA2320,2320,34556
POA2321,2321,14625
POA2322,2322,18450
POA2323,2323,25735
POA2324,2324,23648
POA2325,2325,28460
POA2326,2326,7332
POA2327,2327,7615
POA2328,2328,2442
POA2329,2329,2112
POA2330,2330,20350
POA2331,2331,319
POA2333,2333,13647
POA2334,2334,2830
POA2335,2335,6156
POA2336,2336,2614
POA2337,2337,7891
